commit;number;title
9537b11ad8652f909b97d092d4838b55b77bd0ce;12641;Can't solve Integral((sin(2*x)*cos(x))/(1+cos(x)), (x, 0, pi/2))
9537b11ad8652f909b97d092d4838b55b77bd0ce;12641;Can't solve Integral((sin(2*x)*cos(x))/(1+cos(x)), (x, 0, pi/2))
9537b11ad8652f909b97d092d4838b55b77bd0ce;12641;Can't solve Integral((sin(2*x)*cos(x))/(1+cos(x)), (x, 0, pi/2))
ee13fa2b5af8c3be57f8f6913312dd1375e10880;3;1985
ee13fa2b5af8c3be57f8f6913312dd1375e10880;3;1985
ee13fa2b5af8c3be57f8f6913312dd1375e10880;3;1985
85a8f56a2ecb37a99861192b6c3db751a961ab2b;13386;gruntz: Porting changes back from diofant
f6d511b3661b2ad29a6db8dd2dd17855efebce0e;13204;Piecewise expr must be Basic
f6d511b3661b2ad29a6db8dd2dd17855efebce0e;13204;Piecewise expr must be Basic
f6d511b3661b2ad29a6db8dd2dd17855efebce0e;13204;Piecewise expr must be Basic
fd4b40e63698ae4ad4437ecc5db91bb17aa597a6;12000;Getting rid of bare excepts where possible
7d4a53768444dd511e3d7ece218d71a3a3ea8173;12587;Piecewise: _eval_interval and _eval_integral overhaul
66e6069045f3529e8118fab99273a69b5e425b42;13468;Problem with sympy.physics.wigner
99912b7d48e03ec23d035e06b217dfca2e791187;13580;Now can also calculate wigner9j symbol for half integer input.
7d0231704a21c5dbe4740e1f354f736b5a313acc;13776;fix Matrix*list
7d5d74e3dee72ba720d985271473a8aa33652622;13773;@/__matmul__ now only performs matrix multiplication
44001838ed614bbfe38f7aca5eb775d53fcf8dcd;13924;sympy.S doesn't preserve numpy arrays of length 1, and unconditionally converts its member to float
0f42e1775d47f8fe36afc46e02e1c05987ae38fe;13926;correct sympify for numpy arrays of size 1
1e8b5da3edbdbfe23cb664e1fe4982d88133c9b9;13706;Add Experimental LaTeX parsing
6a427258050f7bf0ee0bb9a9ee1f3c5bd56a4375;14253;solveset modifications for use of Piecewise
f091a3cd813623284886ca2e382443cc50402ce5;14401;Limit comparison test introduced
d685f5d8255832ba44db98db46df217af8bd16a1;14464;Test for convergence in Sum
18fe2e1e5b07e3f8c7315a897c559b5911d143c3;14509;More general comparison test for convergence
677c9b7bac53afd4bb73718bf5a47ed11711cf93;14348;improve identification of imaginary roots for CRootOf instances
ac1749ffbf36182d695e0bc984aff0394626f2b1;14747;Clean up some cruft in the tests
03268800330a27da9e43ebba9eb58c0b00683261;14838;SymPy 1.2 release
